,long,lat,group,District
232,77.47798502,17.56671041,2,Kalaburagi
233,77.4938678,17.56801181,2,Kalaburagi
234,77.49452958,17.56703576,2,Kalaburagi
235,77.50710345,17.54230916,2,Kalaburagi
236,77.52828049,17.57549486,2,Kalaburagi
237,77.53754545,17.57549486,2,Kalaburagi
238,77.5504502,17.55174431,2,Kalaburagi
239,77.59379696,17.56443296,2,Kalaburagi
240,77.59677498,17.53417541,2,Kalaburagi
241,77.67387264,17.5146544,2,Kalaburagi
242,77.68479205,17.5120516,2,Kalaburagi
243,77.68876274,17.51107555,2,Kalaburagi
244,77.68843185,17.47528705,2,Kalaburagi
245,77.68843185,17.47528705,2,Kalaburagi
246,77.65236471,17.4827701,2,Kalaburagi
247,77.65732808,17.50652065,2,Kalaburagi
248,77.64475421,17.4775645,2,Kalaburagi
249,77.61530489,17.4730096,2,Kalaburagi
250,77.61431221,17.44600554,2,Kalaburagi
251,77.57625972,17.4560914,2,Kalaburagi
252,77.57592883,17.43071409,2,Kalaburagi
253,77.53721455,17.44372809,2,Kalaburagi
254,77.51305949,17.43071409,2,Kalaburagi
255,77.51405217,17.41412124,2,Kalaburagi
256,77.53787634,17.40598749,2,Kalaburagi
257,77.5243098,17.38809324,2,Kalaburagi
258,77.52927316,17.37280178,2,Kalaburagi
259,77.52993495,17.37084968,2,Kalaburagi
260,77.52728782,17.36987363,2,Kalaburagi
261,77.48394106,17.35490753,2,Kalaburagi
262,77.47434522,17.36141453,2,Kalaburagi
263,77.4789777,17.37084968,2,Kalaburagi
264,77.45349907,17.37410318,2,Kalaburagi
265,77.4561462,17.33115698,2,Kalaburagi
266,77.43794718,17.29178962,2,Kalaburagi
267,77.45846244,17.27910097,2,Kalaburagi
268,77.42636599,17.25632647,2,Kalaburagi
269,77.42040995,17.23778152,2,Kalaburagi
270,77.40816697,17.24136037,2,Kalaburagi
271,77.38037211,17.22249006,2,Kalaburagi
272,77.40386538,17.20980141,2,Kalaburagi
273,77.39393865,17.19450996,2,Kalaburagi
274,77.37243072,17.19548601,2,Kalaburagi
275,77.36382754,17.15872146,2,Kalaburagi
276,77.4068434,17.1245597,2,Kalaburagi
277,77.4637567,17.10991895,2,Kalaburagi
278,77.46276402,17.0939768,2,Kalaburagi
279,77.48096304,17.07933604,2,Kalaburagi
280,77.49684582,17.04257149,2,Kalaburagi
281,77.50214008,17.00938579,2,Kalaburagi
282,77.47963948,16.99604643,2,Kalaburagi
283,77.48129393,16.97131983,2,Kalaburagi
284,77.48129393,16.97034378,2,Kalaburagi
285,77.47798502,16.96741563,2,Kalaburagi
286,77.46640383,16.95407628,2,Kalaburagi
287,77.46938185,16.91926382,2,Kalaburagi
288,77.45416085,16.91405822,2,Kalaburagi
289,77.45879333,16.88477672,2,Kalaburagi
290,77.42504242,16.88510207,2,Kalaburagi
291,77.41114499,16.87469087,2,Kalaburagi
292,77.40154914,16.88314997,2,Kalaburagi
293,77.40651251,16.90202027,2,Kalaburagi
294,77.3767323,16.89453722,2,Kalaburagi
295,77.35158457,16.90787657,2,Kalaburagi
296,77.34165783,16.93422993,2,Kalaburagi
297,77.31882633,16.93650738,2,Kalaburagi
298,77.31154673,16.92739757,2,Kalaburagi
299,77.28937701,16.93715808,2,Kalaburagi
300,77.26290571,16.92837362,2,Kalaburagi
301,77.24205957,16.94301438,2,Kalaburagi
302,77.21128668,16.94496648,2,Kalaburagi
303,77.19606568,16.92674687,2,Kalaburagi
304,77.1841536,16.94236368,2,Kalaburagi
305,77.16562369,16.93878483,2,Kalaburagi
306,77.16032943,16.91568497,2,Kalaburagi
307,77.12558585,16.91796242,2,Kalaburagi
308,77.09481296,16.90624982,2,Kalaburagi
309,77.08620979,16.93683273,2,Kalaburagi
310,77.07165058,16.93976088,2,Kalaburagi
311,77.06503275,16.95375093,2,Kalaburagi
312,77.06503275,16.95375093,2,Kalaburagi
313,77.04120858,16.92316802,2,Kalaburagi
314,77.01970065,16.92739757,2,Kalaburagi
315,77.0177153,16.89876677,2,Kalaburagi
316,77.03392897,16.89323582,2,Kalaburagi
317,77.04153947,16.87013597,2,Kalaburagi
318,77.00712678,16.85777266,2,Kalaburagi
319,76.9799937,16.86135152,2,Kalaburagi
320,76.98330261,16.83987841,2,Kalaburagi
321,76.9952147,16.83727561,2,Kalaburagi
322,76.98495707,16.81450111,2,Kalaburagi
323,76.98264083,16.80962086,2,Kalaburagi
324,76.94425745,16.83109396,2,Kalaburagi
325,76.91083743,16.81645321,2,Kalaburagi
326,76.90157248,16.85484451,2,Kalaburagi
327,76.92076417,16.87013597,2,Kalaburagi
328,76.90157248,16.87826972,2,Kalaburagi
329,76.90157248,16.89258512,2,Kalaburagi
330,76.8704687,16.89583862,2,Kalaburagi
331,76.84135027,16.86655712,2,Kalaburagi
332,76.81653343,16.87371482,2,Kalaburagi
333,76.81322452,16.85842336,2,Kalaburagi
334,76.7910548,16.84996426,2,Kalaburagi
335,76.78906945,16.83727561,2,Kalaburagi
336,76.75995102,16.84410796,2,Kalaburagi
337,76.75465677,16.82035741,2,Kalaburagi
338,76.74473003,16.81580251,2,Kalaburagi
339,76.74506092,16.75170855,2,Kalaburagi
340,76.74373735,16.75170855,2,Kalaburagi
341,76.72884725,16.753986,2,Kalaburagi
342,76.73480329,16.7787126,2,Kalaburagi
343,76.70932466,16.7806647,2,Kalaburagi
344,76.70204506,16.79302801,2,Kalaburagi
345,76.67954445,16.78489425,2,Kalaburagi
346,76.67557376,16.7650479,2,Kalaburagi
347,76.66068365,16.767,2,Kalaburagi
348,76.65274226,16.75105785,2,Kalaburagi
349,76.6586983,16.72502985,2,Kalaburagi
350,76.63553592,16.7351157,2,Kalaburagi
351,76.63553592,16.74585225,2,Kalaburagi
352,76.62296205,16.74259875,2,Kalaburagi
353,76.62362383,16.7656986,2,Kalaburagi
354,76.59649075,16.7656986,2,Kalaburagi
355,76.54718796,16.74780435,2,Kalaburagi
356,76.51641507,16.75105785,2,Kalaburagi
357,76.50351031,16.74129735,2,Kalaburagi
358,76.50284853,16.72307775,2,Kalaburagi
359,76.4813406,16.71201585,2,Kalaburagi
360,76.47141386,16.7116905,2,Kalaburagi
361,76.46148712,16.71103979,2,Kalaburagi
362,76.46082534,16.71103979,2,Kalaburagi
363,76.45222217,16.7221017,2,Kalaburagi
364,76.44858237,16.721451,2,Kalaburagi
365,76.44097187,16.7136426,2,Kalaburagi
366,76.42277285,16.7168961,2,Kalaburagi
367,76.42905978,16.7377185,2,Kalaburagi
368,76.44031008,16.74194805,2,Kalaburagi
369,76.4360085,16.7643972,2,Kalaburagi
370,76.37082292,16.76862675,2,Kalaburagi
371,76.37744075,16.80181246,2,Kalaburagi
372,76.41019898,16.79888431,2,Kalaburagi
373,76.41383878,16.81352506,2,Kalaburagi
374,76.35229301,16.81970671,2,Kalaburagi
375,76.37446273,16.85874871,2,Kalaburagi
376,76.42905978,16.85061496,2,Kalaburagi
377,76.42939067,16.83727561,2,Kalaburagi
378,76.47108297,16.83890236,2,Kalaburagi
379,76.4585091,16.86688247,2,Kalaburagi
380,76.43799385,16.86785852,2,Kalaburagi
381,76.43336137,16.88184857,2,Kalaburagi
382,76.43369226,16.89779072,2,Kalaburagi
383,76.46545782,16.90267097,2,Kalaburagi
384,76.4585091,16.92804827,2,Kalaburagi
385,76.43402315,16.94333973,2,Kalaburagi
386,76.42806711,16.92739757,2,Kalaburagi
387,76.39894868,16.93520598,2,Kalaburagi
388,76.40027224,16.97717613,2,Kalaburagi
389,76.43667028,16.98173103,2,Kalaburagi
390,76.44064098,16.99669713,2,Kalaburagi
391,76.42740533,17.05363339,2,Kalaburagi
392,76.42939067,17.09950775,2,Kalaburagi
393,76.3982869,17.06990089,2,Kalaburagi
394,76.38802927,17.07250369,2,Kalaburagi
395,76.39034551,17.0972303,2,Kalaburagi
396,76.36221975,17.1161006,2,Kalaburagi
397,76.39133818,17.13074135,2,Kalaburagi
398,76.39464709,17.14310465,2,Kalaburagi
399,76.35990351,17.1401765,2,Kalaburagi
400,76.36883758,17.16685521,2,Kalaburagi
401,76.35626371,17.18865366,2,Kalaburagi
402,76.33343221,17.17075941,2,Kalaburagi
403,76.27684981,17.16750591,2,Kalaburagi
404,76.26394505,17.15091305,2,Kalaburagi
405,76.25633455,17.15091305,2,Kalaburagi
406,76.24607692,17.15091305,2,Kalaburagi
407,76.24276801,17.15091305,2,Kalaburagi
408,76.24177534,17.15221445,2,Kalaburagi
409,76.2205983,17.18540016,2,Kalaburagi
410,76.18817096,17.18637621,2,Kalaburagi
411,76.18188402,17.19255786,2,Kalaburagi
412,76.12761786,17.24493922,2,Kalaburagi
413,76.08857269,17.25697717,2,Kalaburagi
414,76.08857269,17.25762787,2,Kalaburagi
415,76.09485963,17.27649817,2,Kalaburagi
416,76.09916121,17.29016287,2,Kalaburagi
417,76.0994921,17.29113892,2,Kalaburagi
